source_url,target_url,bucket
https://kriskrug.co/2007/08/07/bryght-world-tour-2007/events/barcamp-vancouver-2007,/2007/08/07/bryght-world-tour-2007/,drupal_bryght_subpath
https://kriskrug.co/category/art/?amp=1,/blog/,amp_deleted_category
https://kriskrug.co/category/bioblitz/?amp=1,/blog/,amp_deleted_category
https://kriskrug.co/category/community/?amp=1,/blog/,amp_deleted_category
https://kriskrug.co/2007/08/07/bryght-world-tour-2007/events/barcamp-beijing-2007,/2007/08/07/bryght-world-tour-2007/,drupal_bryght_subpath
https://kriskrug.co/quote-request/,/contact/,dead_page
https://kriskrug.co/2007/08/07/bryght-world-tour-2007/about-bryght/djun-kim,/2007/08/07/bryght-world-tour-2007/,drupal_bryght_subpath
https://kriskrug.co/?p=87,/blog/,dead_post_id
https://kriskrug.co/2006/03/30/tech-village-switch-on-event-with-communicopia/system/files?file=techvilliage.pdf,/2006/03/30/tech-village-switch-on-event-with-communicopia/,drupal_techvillage_subpath
https://kriskrug.co/2006/07/07/gnomedex-6/about/the-team,/2006/07/07/gnomedex-6/,drupal_gnomedex_subpath
https://kriskrug.co/2006/03/25/sxsw-wrap-up/about/the-team/colin,/2006/03/25/sxsw-wrap-up/,drupal_sxsw_subpath
https://kriskrug.co/2023/09/28/future-in-review-podcast/,https://kriskrug.co/2023/07/28/future-in-review-conference-and-fire-podcast-an-insiders-view/,dead_page
https://kriskrug.co/category/field-notes/page/3/,/category/field-notes/page/2/,pagination_overflow
https://kriskrug.co/spark/wordpress/,/blog/,legacy_wp_root
https://kriskrug.co/category/friends/?amp=1,/blog/,amp_deleted_category
https://kriskrug.co/node/216,/blog/,drupal_node
https://kriskrug.co/?p=280,/blog/,dead_post_id
https://kriskrug.co/category/communication/,/blog/,deleted_category
https://kriskrug.co/category/web-20/?amp=1,/blog/,amp_deleted_category
https://kriskrug.co/2007/08/07/bryght-world-tour-2007/events/gnomedex-20071,/2007/08/07/bryght-world-tour-2007/,drupal_bryght_subpath
https://kriskrug.co/category/artificial-intelligence/?amp=1,/blog/,amp_deleted_category
https://kriskrug.co/category/art/,/blog/,deleted_category
https://kriskrug.co/?page_id=504,/blog/,dead_page_id
https://kriskrug.co/?page_id=843,/blog/,dead_page_id
https://kriskrug.co/?p=247,/blog/,dead_post_id
https://kriskrug.co/2007/08/07/bryght-world-tour-2007/events/barcamp-shanghai-2007,/2007/08/07/bryght-world-tour-2007/,drupal_bryght_subpath
https://kriskrug.co/?p=107,/blog/,dead_post_id
https://kriskrug.co/category/community/,/blog/,deleted_category
https://kriskrug.co/2007/08/07/bryght-world-tour-2007/about/the-team/adrian,/2007/08/07/bryght-world-tour-2007/,drupal_bryght_subpath
https://kriskrug.co/category/web-design/?amp=1,/blog/,amp_deleted_category
https://kriskrug.co/category/gastown/?amp=1,/blog/,amp_deleted_category
https://kriskrug.co/shrine,https://kriskrug.co/2023/08/25/burning-man-art-projects-uncle-charlies-red-hot-cock-tyson-ayers-shrine-of-sympathetic-resonance/,dead_page
